Jackpot 1.9095e30 6.885e8 -688928.3028 -159670652.4 -31.40991162 3.551425682 -0.06511992284 0
Slots 2e23 2.068e6 0 1.139952e10 0 -105731.5 0 0
Poker 2.3889e24 4.850e6 -8.228e10 0 0 0 -39355.1 0
Baccarat 5.90e24 6.4e6 1.25664e11 0 0 0 31845.1 0
#Fubar 5.972e22 6.371e5 1.2658044e11 -9.1641e8 0 393.9 32238.98 0
Fubar 5.972e22 6.371e5 1.26580439997e11 -9.1641e8 0 394.0 32238.98 0
MahJong 6.2e24 6.51e6 -1.60072e11 0 0 0 -28215.6 0
Blackjack 8.361e24 7.16e6 2.10936e11 0 0 0 24579.5 0 
Roulette 6e26 6e7 0 7.7791e11 1e5 -12795. 0 0
Bingo 1.02e26 2.4e7 0 -1.5857e12 0 8962.0 0 0
